"","KIDS","SNAP","FINC","NPL","AGE","FERH"
"549",1,"No",91500,3,42.3333333333333,"No"
"550",2,"No",76000,4,21.5,"No"
"551",2,"No",192000,4,21.75,"No"
"552",3,"No",284000,5,26,"No"
"553",4,"No",36000,6,17,"Yes"
"554",1,"No",138000,4,34.75,"No"
"555",1,"Yes",19900,3,18.6666666666667,"No"
"556",2,"No",60000,4,16.25,"No"
"557",1,"Yes",30000,2,14,"No"
"558",3,"No",80000,7,22.2857142857143,"No"
"559",1,"No",87000,3,39.6666666666667,"No"
"560",4,"No",644500,6,21.6666666666667,"Yes"
"561",3,"No",166000,7,24.8571428571429,"No"
"562",2,"No",106000,4,24.75,"No"
"563",1,"No",126000,3,25,"No"
"564",1,"No",326000,3,27,"Yes"
"565",2,"No",98000,4,25.25,"No"
"566",2,"No",105400,4,27.25,"No"
"567",1,"No",27000,3,29,"No"
"568",1,"Yes",30400,3,41,"No"
"569",1,"No",597000,3,26,"No"
"570",2,"No",151000,4,26.5,"No"
"571",2,"No",162000,4,24.25,"No"
"572",1,"No",160000,4,21.5,"No"
"573",2,"No",30000,4,22.75,"No"
"574",2,"Yes",332200,6,32.1666666666667,"No"
"575",4,"No",91000,6,16.3333333333333,"Yes"
"576",1,"No",90000,3,21,"Yes"
"577",1,"No",215000,3,35.3333333333333,"No"
"578",1,"No",626800,3,23.6666666666667,"No"
"579",2,"No",89800,4,22.25,"No"
"580",1,"No",131000,6,33.3333333333333,"No"
"581",4,"Yes",83700,11,24.8181818181818,"No"
"582",1,"No",275000,3,39.3333333333333,"No"
"583",3,"No",90000,5,17.4,"Yes"
"584",2,"Yes",143000,6,18,"No"
"585",4,"No",61600,7,21.4285714285714,"No"
"586",3,"No",608600,5,27,"No"
"587",2,"No",1e+05,4,18.75,"No"
"588",2,"No",136000,5,25.8,"Yes"
"589",1,"No",162000,2,27,"No"
"590",1,"Yes",72300,3,29,"No"
"591",2,"No",195000,4,21.25,"No"
"592",2,"Yes",9000,3,17,"No"
"593",1,"No",23400,2,10,"Yes"
"594",1,"No",170100,3,23.3333333333333,"Yes"
"595",1,"Yes",34000,4,41.5,"No"
"596",2,"No",162500,4,34.75,"No"
"597",3,"No",576000,5,25.4,"No"
"598",1,"No",115000,3,22.3333333333333,"Yes"
"599",3,"No",350000,5,19.2,"No"
"600",3,"Yes",60300,5,13.8,"No"
"601",2,"No",104600,4,15.5,"No"
"602",1,"No",74000,3,30.3333333333333,"No"
"603",1,"No",103300,4,36,"No"
"604",1,"Yes",89000,4,37.5,"No"
"605",2,"No",19800,4,16.25,"Yes"
"606",1,"No",386400,6,40.1666666666667,"No"
"607",2,"No",222000,4,28.75,"No"
"608",2,"No",134400,5,27.4,"No"
"609",2,"No",295600,4,27.75,"No"
"610",3,"Yes",10600,4,11.75,"No"
"611",1,"No",211500,3,45.3333333333333,"No"
"612",1,"No",154200,3,43.6666666666667,"No"
"613",2,"No",62000,4,21.25,"No"
"614",2,"No",101000,4,27.25,"No"
"615",3,"Yes",39300,5,18,"Yes"
"616",1,"No",115000,4,39.25,"No"
"617",2,"Yes",20400,4,16,"No"
"618",2,"No",183400,4,21.75,"No"
"619",1,"No",188000,5,31.8,"No"
"620",2,"No",268700,5,25,"No"
"621",2,"No",265000,5,27.4,"No"
"622",2,"No",68700,4,29.25,"No"
"623",2,"No",629000,4,26.75,"No"
"624",1,"No",318000,3,47.3333333333333,"No"
"625",2,"No",99000,5,26,"No"
"626",1,"No",121000,3,22,"No"
"627",1,"No",79100,2,27,"No"
"628",1,"Yes",50000,3,31.3333333333333,"No"
"629",1,"No",192000,4,31.5,"No"
"630",2,"No",205000,5,36.6,"No"
"631",1,"No",85500,3,26,"No"
"632",2,"No",170000,4,22.25,"No"
"633",3,"No",121900,5,23.8,"No"
